frame_count,t_in_us,t_due_us,t_pub_us,published
199,36925110164,36925160164,36925160360,1
200,36925126894,36925176894,36925177239,1
201,36925143930,36925193930,36925194056,1
202,36925160022,36925210022,36925210192,1
203,36925176876,36925226876,36925227274,1
204,36925193501,36925243501,36925243748,1
205,36925209903,36925259903,36925260081,1
206,36925226474,36925276474,36925276891,1
207,36925243354,36925293354,36925293743,1
208,36925259804,36925309804,36925310022,1
209,36925277149,36925327149,36925327325,1
210,36925294046,36925344046,36925344177,1
211,36925310280,36925360280,36925360409,1
212,36925326867,36925376867,36925376984,1
213,36925343553,36925393553,36925393884,1
214,36925359938,36925409938,36925410232,1
215,36925376665,36925426665,36925426956,1
216,36925393532,36925443532,36925443669,1
217,36925410487,36925460487,36925460683,1
218,36925427213,36925477213,36925477357,1
219,36925443353,36925493353,36925493685,1
220,36925459925,36925509925,36925510272,1
221,36925476739,36925526739,36925527007,1
222,36925493987,36925543987,36925544129,1
223,36925510573,36925560573,36925560797,1
224,36925526684,36925576684,36925576992,1
225,36925543305,36925593305,36925593651,1
226,36925560011,36925610011,36925610260,1
227,36925577246,36925627246,36925627424,1
228,36925593909,36925643909,36925644055,1
229,36925609967,36925659967,36925660240,1
230,36925626766,36925676766,36925677069,1
231,36925643467,36925693467,36925693680,1
232,36925659921,36925709921,36925710213,1
233,36925676751,36925726751,36925727051,1
234,36925693331,36925743331,36925743708,1
235,36925710469,36925760469,36925760629,1
236,36925727307,36925777307,36925777429,1
237,36925744007,36925794007,36925794139,1
238,36925760235,36925810235,36925810587,1
239,36925776939,36925826939,36925827259,1
240,36925793478,36925843478,36925843792,1
241,36925810194,36925860194,36925860350,1
242,36925826871,36925876871,36925877081,1
243,36925843348,36925893348,36925893747,1
244,36925860014,36925910014,36925910256,1
245,36925876707,36925926707,36925926915,1
246,36925894053,36925944053,36925944204,1
247,36925909927,36925959927,36925960209,1
248,36925926579,36925976579,36925976867,1
249,36925943502,36925993502,36925993833,1
250,36925960466,36926010466,36926010609,1
251,36925977122,36926027122,36926027300,1
252,36925993463,36926043463,36926043693,1
253,36926009907,36926059907,36926060187,1
254,36926026681,36926076681,36926076865,1
255,36926043350,36926093350,36926093717,1
256,36926060451,36926110451,36926110676,1
257,36926076572,36926126572,36926127136,1
258,36926093976,36926143976,36926144131,1
259,36926110287,36926160287,36926160620,1
260,36926127394,36926177394,36926177552,1
261,36926143637,36926193637,36926194003,1
262,36926160201,36926210201,36926210429,1
263,36926176849,36926226849,36926227114,1
264,36926193596,36926243596,36926243765,1
265,36926210067,36926260067,36926260408,1
266,36926226721,36926276721,36926277086,1
267,36926243400,36926293400,36926293750,1
268,36926260039,36926310039,36926310440,1
269,36926277343,36926327343,36926327535,1
270,36926294010,36926344010,36926344135,1
271,36926310741,36926360741,36926361005,1
272,36926326669,36926376669,36926376919,1
273,36926343340,36926393340,36926393586,1
274,36926359977,36926409977,36926410267,1
275,36926376593,36926426593,36926426887,1
276,36926393289,36926443289,36926443578,1
277,36926410522,36926460522,36926460665,1
278,36926426589,36926476589,36926476881,1
279,36926443832,36926493832,36926493959,1
280,36926459891,36926509891,36926510159,1
281,36926477136,36926527136,36926527363,1
282,36926493440,36926543440,36926543676,1
283,36926510411,36926560411,36926560668,1
284,36926526714,36926576714,36926576990,1
285,36926543373,36926593373,36926593546,1
286,36926559930,36926609930,36926610205,1
287,36926576686,36926626686,36926626973,1
288,36926593247,36926643247,36926643529,1
289,36926610458,36926660458,36926660731,1
290,36926627228,36926677228,36926677343,1
291,36926643797,36926693797,36926693904,1
292,36926659867,36926709867,36926710199,1
293,36926676734,36926726734,36926727020,1
294,36926693350,36926743350,36926743618,1
295,36926710456,36926760456,36926760740,1
296,36926727274,36926777274,36926777436,1
297,36926743321,36926793321,36926793719,1
298,36926759872,36926809872,36926810161,1
299,36926776753,36926826753,36926827076,1
300,36926794017,36926844017,36926844128,1
301,36926810416,36926860416,36926860571,1
302,36926827380,36926877380,36926877630,1
303,36926843401,36926893401,36926893583,1
304,36926860066,36926910066,36926910222,1
305,36926876628,36926926628,36926926913,1
306,36926893197,36926943197,36926943537,1
307,36926909894,36926959894,36926960181,1
308,36926926575,36926976575,36926976869,1
309,36926943792,36926993792,36926994010,1
310,36926960436,36927010436,36927010540,1
311,36926977169,36927027169,36927027439,1
312,36926993298,36927043298,36927043521,1
313,36927010033,36927060033,36927060319,1
314,36927026806,36927076806,36927077008,1
315,36927043205,36927093205,36927093486,1
316,36927060576,36927110576,36927110701,1
317,36927076712,36927126712,36927127035,1
318,36927093741,36927143741,36927143900,1
319,36927109875,36927159875,36927160106,1
320,36927126705,36927176705,36927176993,1
321,36927143291,36927193291,36927193528,1
322,36927160360,36927210360,36927210488,1
323,36927177247,36927227247,36927227360,1
324,36927193782,36927243782,36927244000,1
325,36927210081,36927260081,36927260324,1
326,36927226748,36927276748,36927277086,1
327,36927243629,36927293629,36927293988,1
328,36927260009,36927310009,36927310306,1
329,36927277343,36927327343,36927327612,1
330,36927294246,36927344246,36927344441,1
331,36927310562,36927360562,36927360891,1
332,36927326626,36927376626,36927376907,1
333,36927343378,36927393378,36927393663,1
334,36927359952,36927409952,36927410236,1
335,36927377161,36927427161,36927427280,1
336,36927393923,36927443923,36927444045,1
337,36927410491,36927460491,36927460717,1
338,36927426832,36927476832,36927477031,1
339,36927443326,36927493326,36927493595,1
340,36927460065,36927510065,36927510165,1
341,36927476737,36927526737,36927526975,1
342,36927493293,36927543293,36927543579,1
343,36927509869,36927559869,36927560112,1
344,36927526677,36927576677,36927576978,1
345,36927543261,36927593261,36927593541,1
346,36927560368,36927610368,36927610470,1
347,36927577233,36927627233,36927627419,1
348,36927593795,36927643795,36927643893,1
349,36927609962,36927659962,36927660237,1
350,36927626729,36927676729,36927676864,1
351,36927643426,36927693426,36927693682,1
352,36927660493,36927710493,36927710621,1
353,36927676561,36927726561,36927726790,1
354,36927693375,36927743375,36927743654,1
355,36927709942,36927759942,36927760212,1
356,36927727044,36927777044,36927777143,1
357,36927743359,36927793359,36927793658,1
358,36927759912,36927809912,36927810201,1
359,36927776719,36927826719,36927827109,1
360,36927793914,36927843914,36927844083,1
361,36927810454,36927860454,36927860631,1
362,36927827365,36927877365,36927877499,1
363,36927843698,36927893698,36927893944,1
364,36927860125,36927910125,36927910521,1
365,36927876918,36927926918,36927927025,1
366,36927893559,36927943559,36927943667,1
367,36927910781,36927960781,36927960963,1
368,36927926652,36927976652,36927976943,1
369,36927943321,36927993321,36927993588,1
370,36927959968,36928009968,36928010384,1
371,36927977201,36928027201,36928027321,1
372,36927993296,36928043296,36928043588,1
373,36928010641,36928060641,36928060898,1
374,36928026702,36928076702,36928076989,1
375,36928043842,36928093842,36928094092,1
376,36928059956,36928109956,36928110384,1
377,36928076660,36928126660,36928126947,1
378,36928093246,36928143246,36928143487,1
379,36928110641,36928160641,36928160924,1
380,36928127205,36928177205,36928177307,1
381,36928143745,36928193745,36928193926,1
382,36928159903,36928209903,36928210193,1
